"Sex of employee";"Type of employment contract";"Other characteristics employee";"Industry class / branch (SIC2008)";"Periods";"Employment/Jobs (x 1 000)"
"Total";"Total";"Total";"A-U All economic activities";"2020*";8392
"Total";"Total";"Total";"A-F Agriculture and industry";"2020*";1286
"Total";"Total";"Total";"A Agriculture, forestry and fishing";"2020*";112
"Total";"Total";"Total";"B-F Manifacturing and energy";"2020*";1174
"Total";"Total";"Total";"B-E Industry (no construction), energy";"2020*";839
"Total";"Total";"Total";"B Mining and quarrying ";"2020*";8
"Total";"Total";"Total";"C Manufacturing";"2020*";766
"Total";"Total";"Total";"D Energy supply";"2020*";28
"Total";"Total";"Total";"E Water supply and waste management";"2020*";36
"Total";"Total";"Total";"F Construction";"2020*";335
"Total";"Total";"Total";"G-N Commercial services";"2020*";4332
"Total";"Total";"Total";"G-I Trade, transport, hotels, catering";"2020*";2192
"Total";"Total";"Total";"G Wholesale and retail trade";"2020*";1411
"Total";"Total";"Total";"H Transportation and storage";"2020*";386
"Total";"Total";"Total";"I Accommodation and food serving";"2020*";395
"Total";"Total";"Total";"J Information and communication";"2020*";289
"Total";"Total";"Total";"K Financial institutions";"2020*";272
"Total";"Total";"Total";"L Renting, buying, selling real estate";"2020*";68
"Total";"Total";"Total";"M-N Business services";"2020*";1510
"Total";"Total";"Total";"M Other specialised business services";"2020*";529
"Total";"Total";"Total";"N Renting and other business support";"2020*";981
"Total";"Total";"Total";"O-U Noncommercial services";"2020*";2775
"Total";"Total";"Total";"O-Q Government and care";"2020*";2510
"Total";"Total";"Total";"O Public administration and services";"2020*";537
"Total";"Total";"Total";"P Education";"2020*";541
"Total";"Total";"Total";"Q Health and social work activities";"2020*";1432
"Total";"Total";"Total";"R-U Culture, recreation, other services";"2020*";264
"Total";"Total";"Total";"R Culture, sports and recreation";"2020*";132
"Total";"Total";"Total";"S Other service activities";"2020*";132
"Sex: Male";"Total";"Total";"A-U All economic activities";"2020*";4363
"Sex: Male";"Total";"Total";"A-F Agriculture and industry";"2020*";1015
"Sex: Male";"Total";"Total";"A Agriculture, forestry and fishing";"2020*";73
"Sex: Male";"Total";"Total";"B-F Manifacturing and energy";"2020*";942
"Sex: Male";"Total";"Total";"B-E Industry (no construction), energy";"2020*";649
"Sex: Male";"Total";"Total";"B Mining and quarrying ";"2020*";7
"Sex: Male";"Total";"Total";"C Manufacturing";"2020*";592
"Sex: Male";"Total";"Total";"D Energy supply";"2020*";21
"Sex: Male";"Total";"Total";"E Water supply and waste management";"2020*";29
"Sex: Male";"Total";"Total";"F Construction";"2020*";293
"Sex: Male";"Total";"Total";"G-N Commercial services";"2020*";2519
"Sex: Male";"Total";"Total";"G-I Trade, transport, hotels, catering";"2020*";1239
"Sex: Male";"Total";"Total";"G Wholesale and retail trade";"2020*";753
"Sex: Male";"Total";"Total";"H Transportation and storage";"2020*";290
"Sex: Male";"Total";"Total";"I Accommodation and food serving";"2020*";196
"Sex: Male";"Total";"Total";"J Information and communication";"2020*";209
"Sex: Male";"Total";"Total";"K Financial institutions";"2020*";165
"Sex: Male";"Total";"Total";"L Renting, buying, selling real estate";"2020*";35
"Sex: Male";"Total";"Total";"M-N Business services";"2020*";871
"Sex: Male";"Total";"Total";"M Other specialised business services";"2020*";309
"Sex: Male";"Total";"Total";"N Renting and other business support";"2020*";562
"Sex: Male";"Total";"Total";"O-U Noncommercial services";"2020*";828
"Sex: Male";"Total";"Total";"O-Q Government and care";"2020*";720
"Sex: Male";"Total";"Total";"O Public administration and services";"2020*";307
"Sex: Male";"Total";"Total";"P Education";"2020*";189
"Sex: Male";"Total";"Total";"Q Health and social work activities";"2020*";224
"Sex: Male";"Total";"Total";"R-U Culture, recreation, other services";"2020*";108
"Sex: Male";"Total";"Total";"R Culture, sports and recreation";"2020*";63
"Sex: Male";"Total";"Total";"S Other service activities";"2020*";45
"Sex: Female";"Total";"Total";"A-U All economic activities";"2020*";4030
"Sex: Female";"Total";"Total";"A-F Agriculture and industry";"2020*";270
"Sex: Female";"Total";"Total";"A Agriculture, forestry and fishing";"2020*";39
"Sex: Female";"Total";"Total";"B-F Manifacturing and energy";"2020*";232
"Sex: Female";"Total";"Total";"B-E Industry (no construction), energy";"2020*";190
"Sex: Female";"Total";"Total";"B Mining and quarrying ";"2020*";1
"Sex: Female";"Total";"Total";"C Manufacturing";"2020*";174
"Sex: Female";"Total";"Total";"D Energy supply";"2020*";7
"Sex: Female";"Total";"Total";"E Water supply and waste management";"2020*";7
"Sex: Female";"Total";"Total";"F Construction";"2020*";42
"Sex: Female";"Total";"Total";"G-N Commercial services";"2020*";1813
"Sex: Female";"Total";"Total";"G-I Trade, transport, hotels, catering";"2020*";953
"Sex: Female";"Total";"Total";"G Wholesale and retail trade";"2020*";658
"Sex: Female";"Total";"Total";"H Transportation and storage";"2020*";95
"Sex: Female";"Total";"Total";"I Accommodation and food serving";"2020*";199
"Sex: Female";"Total";"Total";"J Information and communication";"2020*";80
"Sex: Female";"Total";"Total";"K Financial institutions";"2020*";107
"Sex: Female";"Total";"Total";"L Renting, buying, selling real estate";"2020*";33
"Sex: Female";"Total";"Total";"M-N Business services";"2020*";639
"Sex: Female";"Total";"Total";"M Other specialised business services";"2020*";220
"Sex: Female";"Total";"Total";"N Renting and other business support";"2020*";419
"Sex: Female";"Total";"Total";"O-U Noncommercial services";"2020*";1947
"Sex: Female";"Total";"Total";"O-Q Government and care";"2020*";1790
"Sex: Female";"Total";"Total";"O Public administration and services";"2020*";230
"Sex: Female";"Total";"Total";"P Education";"2020*";353
"Sex: Female";"Total";"Total";"Q Health and social work activities";"2020*";1208
"Sex: Female";"Total";"Total";"R-U Culture, recreation, other services";"2020*";156
"Sex: Female";"Total";"Total";"R Culture, sports and recreation";"2020*";70
"Sex: Female";"Total";"Total";"S Other service activities";"2020*";87
