Data Row,Search Keyword,Platform,Job ID,Job Title,Tracking ID,Company Name,Location,Industry,Job Description,Employment Type,Company URL,Job URL,Job Age,Job Age Number,Job Date,Collection Date
1,network specialist,LinkedIn,2333602806,Network engineer,bRV7nO8uGWWsojGzY7NyDQ==,StackOps,"Amsterdam, North Holland, Netherlands","['Computer Software', 'Internet', 'Computer & Network Security']","Wil jij deel uitmaken van een gedreven netwerk team die oplossingen bouwt voor interessante omgevingen, , Wat ga je doen, , Als Netwerk Engineer ga je samen met een team van ruim tien engineers de strijd aan om de beste managed cloud provider in Nederland te worden Je speelt een belangrijke rol in het ontwerpen, bouwen en onderhouden van high end netwerk solutions Zowel zelfstandig als met het team lever je end to end connectiviteit en beveiliging aan de netwerken van de diverse klanten Denk aan LAN, WAN en bijvoorbeeld WiFi Daarnaast ben je betrokken bij grote projecten waarbij je skills dagelijks op de proef worden gesteld, , , , Om te kunnen belanden in het team van network specialist zien we graag een aantal capaciteiten terug, , , , , , , , , Je gaat aan de slag bij een organisatie die hoogwaardige cloud en beheerdiensten levert Die doen zij voornamelijk voor nonprofitorganisaties Hierdoor kunnen zij doelen verwezenlijken De kwaliteit staat hier hoog in het vaandel en ze vinden een goede samenwerking met klanten erg belangrijk, , Binnen de organisatie word niemand gezien als nummertje Je bouwt met je team, maar ook de klanten een goede band op en dit word enorm gewaardeerd Ik de praktijk betekent dit voor jou korte lijnen, eerlijke antwoorden een lange termijn visie",Full-time,https://www.linkedin.com/jobs/view/externalApply/2333602806?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D06d3fb69d736%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfddgcddaeadcgddd7adafade9ddagdd7aadcfdd93dedcdcafec3ddcg3e&urlHash=XG_G&refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=bRV7nO8uGWWsojGzY7NyDQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/network-engineer-at-stackops-2333602806?refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=bRV7nO8uGWWsojGzY7NyDQ%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,18/10/2020,06/12/2020
2,network specialist,LinkedIn,2306133249,Ervaren Netwerk Architect gezocht - Hoofddorp,J9EMpJCy4PsyAX+P/4pCig==,CareerValue BV,"Hoofddorp, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Staffing and Recruiting']","De Functie, , , , Als Netwerk Architect ben je verantwoordelijk voor het beheer en continu verbeteren van de Netwerk infrastructuur Daarnaast ben je bezig met het doorvoeren van changes en geef je ondersteuning en begeleiding aan collega network specialist In deze functie is het van belang dat je goed kan schakelen tussen verschillende stakeholders en ben je in staat om complexe incidenten op te lossen, , Het gaat hier om een interne functie op basis van 36 uur, , , , Om in aanmerking te komen voor de bovenstaande functie, zijn een aantal punten van belang, ,  Je hebt minimaal een afgeronde HBO opleiding,  Je hebt minimaal 5 jaar ervaring in een soortgelijke functie,  Je hebt kennis en ervaring met Netwerkbeheer en architectuur,  Je hebt kennis en ervaring met Switches, Routers en Firewalls,  Je hebt kennis en ervaring met DNS en DHCP,  Je hebt relevante certificaten behaald zoals CCNA enof CCNP,  Kennis en ervaring met Security is een pr, , , ,  36 uur,  13e maand,  opleidingsbudget,  100 reiskostenvergoeding met het OV, , , , Mauricio Akerina, 0614 33 87 49, mauriciocareervaluenl, , , , Vast, , , , 3500  5000 euro, , , , Vaste werklocatie, werken in een vast team, niet te ver reizen, vaste werkplek, vaste standplaats, , , , Netwerk Engineer, , , , Netwerkbeheerder, Netwerkengineer, Infrastructuur, TCPIP, Infrastructuur, CISSP, CISA, Firewall, Switch, CCNA, CCNP",Full-time,https://www.linkedin.com/jobs/view/externalApply/2306133249?url=https%3A%2F%2Fneuvoo%2Enl%2Fjob%2Ephp%3Fid%3D82ff2d2d9e3e%26source%3Dlinkedin%26utm_source%3Dpartner%26utm_medium%3Dlinkedin%26puid%3Dfdd8cddeeadagada7ddefadc9ddegadcadd7fadb3dedcacbfec3ddcg3e&urlHash=Q01F&refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=J9EMpJCy4PsyAX%2BP%2F4pCig%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/ervaren-netwerk-architect-gezocht-hoofddorp-at-careervalue-b-v-2306133249?refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=J9EMpJCy4PsyAX%2BP%2F4pCig%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,18/10/2020,06/12/2020
3,network specialist,LinkedIn,2333283989,Netwerk Specialist | Den Bosch | Centric,gKCn18+8+2Z3qtZitW5iSQ==,Technicusnl,"sHertogenbosch, North Brabant, Netherlands","['Information Technology and Services', 'Computer Software', 'Computer & Network Security']","Vacature van Centric, locatie Den Bosch, , Voor de uitbreiding van ons onderdeel in sHertogenbosch en de uitbreiding van kennis zijn wij op zoek naar echte diehard network specialist De wereld wordt steeds virtueler en zo ook de netwerken die ons verbinden Maar onder aan de streep moeten ook al die netwerken nog steeds verbonden worden, , Als netwerk specialist bij Centric help jij onze klanten en collegas met zowel de virtuele als de fysieke infrastructuren, , Je hebt kennis van software defined networks denk aan Cisco ACI, campus en enterprise netwerken, maar ook van cloud networking zoals Azure virtual networks Firewalls en loadbalancers zijn je ook niet geheel vreemd en met al je kennis ben je in staat om naast het beheren ook netwerken te ontwerpen en en te bouwen, , De merken waar je bij ons het meest mee werkt zijn Cisco en HP Daarnaast met de eerder genoemde virtual networks Soms doe je dit bij een klant op locatie, van huis uit en de volgende keer weer bij een ander onderdeel van Centric intern, , De kennis die jij meebrengt gebruik je niet alleen bij klanten van Centric maar je draagt deze kennis ook over aan je collegas die van jou willen leren Dit kan op de werkvloer zijn maar ook via een workshop Daarnaast zorgen wij er voor dat je altijd bijblijft binnen jouw vakgebied door je alle tools te bieden die je nodig hebt Zoals de filosoof Confusius ooit zei Wie oude kennis koestert en voortdurend nieuwe vergaart, mag een leraar van anderen zijn, , , , , , 5cd8a0b9cc68f9ffa4c9253553278a55",Full-time,https://www.linkedin.com/jobs/view/externalApply/2333283989?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F90_328474_netwerk-specialist-den-bosch%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dict%2Bden%2Bbosch&urlHash=YjbQ&refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=gKCn18%2B8%2B2Z3qtZitW5iSQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/netwerk-specialist-den-bosch-centric-at-technicus-nl-2333283989?refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=gKCn18%2B8%2B2Z3qtZitW5iSQ%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,18/10/2020,06/12/2020
4,network specialist,LinkedIn,2276514606,Netwerkbeheerder | Hilversum | Jelling IT Professionals BV,Zxt6oxZtn0jP9q4MlwieMQ==,Technicusnl,"Hilversum, North Holland, Netherlands","['Information Technology and Services', 'Computer Software', 'Computer & Network Security']","Vacature van Jelling IT Professionals BV, locatie Hilversum, , Netwerkbeheerder  FUNCTIE, , In de functie van Netwerkbeheerder ga je aan de slag bij een hypermodern en tegelijkertijd zr mensgericht IT bedrijf, waar je binnen enkele jaren wordt opgeleid tot netwerkspecialist, door dagelijks met de nieuwste en meest geavanceerde network security software te werken Je leert ontwerpen, bouwen en beheren van de meest complexe ITnetwerkomgevingen, voor bedrijven die volledig leunen op de kwaliteit van het netwerk en toebehoren, , , , Vind jij het belangrijk naast het leveren van de hoogste kwaliteit k iets bij te dragen aan de maatschappij Dan zit je bij deze organisatie echt op je plek Het biedt de allerbeste maatwerk netwerkoplossingen voor bedrijven en instellingen die voor een overgroot deel volledig afhankelijk zijn van foutloos functioneren van netwerk en randapparatuur Denk hierbij aan zorg en overheidsinstellingen en grote, internationale ondernemingen op het gebied van industrie, logistiek en transport, , Deze werkgever investeert in de beste medewerkers, door het aanbieden van individuele opleidingstrajecten Werk jij het liefst met CISCO apparatuur en ben je reeds in het bezit van CCNA enof CCNP deelcertificaten Behaal hier je volledige CCNA n CCNP certificering, , , , , , , , , Het fundament voor het eigen Network Operations Center wordt gelegd door hoogopgeleide, gecertificeerde netwerkspecialisten Je wordt geacht op HBO niveau te kunnen werken en denken, het is namelijk een vrij pittige functie in een complexe ITnetwerkomgeving en infrastructuur, de kwaliteit moet ten allen tijde gewaarborgd blijven Dat biedt natuurlijk veel uitdaging, maar houd er rekening mee dat er behoorlijk wat van je wordt verwacht, , , , , , Kijk voor een compleet en actueel aanbod aan IT vacatures op of schrijf je DIRECT in, , Tags IT vacature, netwerk, CISCO, CCNA, CCNP, netwerkbeheerder, network security, Woerden, Utrecht, ZuidHolland, , Jelling IT Professionals streeft naar gelijke kansen op de arbeidsmarkt voor iedereen Wij selecteren niet op geslacht, leeftijd, afkomst, etc en nodigen daarom iedereen die zich herkent in bovenstaand profiel van harte uit om te solliciteren, , 5cd8a0b9cc68f9ffa4c9253553278a55",Internship,https://www.linkedin.com/jobs/view/externalApply/2276514606?url=https%3A%2F%2Fwww%2Etechnicus%2Enl%2Ftechnische-baan%2F90_304614_netwerkbeheerder-hilversum%2F%3Fsource%3D5cd8a0b9cc68f9ffa4c9253553278a55%26utm_source%3Dlinkedin%26utm_medium%3Dreferral%26utm_campaign%3Dlinkedin_referral_vertical_vac_feed%26utm_term%3Dict%2Bhilversum&urlHash=uvND&refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=Zxt6oxZtn0jP9q4MlwieMQ%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/netwerkbeheerder-hilversum-jelling-it-professionals-bv-at-technicus-nl-2276514606?refId=efd2ffcd-a3db-4239-8cf2-31c7e74259d6&trackingId=Zxt6oxZtn0jP9q4MlwieMQ%3D%3D&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,2 months ago,2 months ago,18/10/2020,06/12/2020
1,network specialist,LinkedIn,2326343297,Netwerk Engineer,cN5MpZfikQ0vnQLfpmYehg==,Conclusion,"Amsterdam, North Holland, Netherlands",None,"Werk Dat Ertoe Doet, Zoals Het, , Netwerk Engineer Tijd om je expertise ergens anders in te zetten, Netwerk Engineer Bij Conclusion Conclusion Mission Critical krijg je een baan met inhoud, , Onze Identiteit Conclusion Mission Critical ontwerpt, implementeert en beheert missiekritische applicaties, waar beschikbaarheid en veiligheid van levensbelang zijn Denk aan het operationele beheer van bedrijfsapplicaties of de beschikbaarheid van reisinformatie We werken met een unieke combinatie van Alabelproducten, open source nichespelers en zelfontwikkelde software Daarbij volgen we scherp de laatste ITtrends en maken voor onze klanten nauwkeurig de vertaalslag naar hun business In onze aanpak doet de mens niet onder voor de organisatie en de techniek Precies zo maken wij het verschil Conclusion is een organisatie met meer dan 25 verschillende bedrijven in 1 ecosysteem Met ruim 1750 collegas verbeteren we met technologische oplossingen, kritische bedrijfsprocessen van onze klanten We werken samen als het kan en hebben op het juiste moment, de juiste mensen aan tafel Experts in hun vakgebied, die elkaar aanvullen, scherp houden en uitdagingen vanuit verschillende perspectieven bekijken Daar zit onze kracht Lef en ondernemerschap helpen ons hierin Met af en toe het nodige vuurwerk onderling, bereiken we het beste resultaat Dat is onze aanpak Ook de jouwe Dan zit je als Netwerk Engineer goed bij Conclusion Mission Critical met als thuisbasis Amsterdam en Utrecht maar werk je ook vanuit onze klantlocaties in oa Aalsmeer en Rijnsburg Jou missen we nog Jij bent te herkennen aan je knowhow van het beheer en onderhoud van complexe netwerken Vinden mensen je een troubleshooter in hart en nieren Of juist een professional die in no time overzicht heeft Mag allebei, want verschil moet er zijn Voor deze functie ben je vooral dienstverlenend en heb je het vermogen snel te handelen als het erop aankomt Anderen zijn er al genoeg, dus blijf vooral lekker jezelf Dat is alles wat we vragen Alhoewel, als Netwerk Engineer heb je natuurlijk verstand van zaken, waaronder",Full-time,https://www.linkedin.com/jobs/view/externalApply/2326343297?url=https%3A%2F%2Fwww%2Evacatures%2Enl%2Fvacature%2Fnetwerk-engineer%3A44422616%2F&urlHash=26ym&refId=b8ccf476-a532-483a-b8e9-4ead2c84fa9b&trackingId=cN5MpZfikQ0vnQLfpmYehg%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/netwerk-engineer-at-conclusion-2326343297?refId=b8ccf476-a532-483a-b8e9-4ead2c84fa9b&trackingId=cN5MpZfikQ0vnQLfpmYehg%3D%3D&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,28/11/2020,07/12/2020
2,network specialist,LinkedIn,2230700950,Netwerk Specialist,fzNTtQXgCxe/Y8YxF1JRqA==,Centric,"Moordrecht, South Holland, Netherlands","['Information Technology and Services', 'Internet', 'Insurance']","Maak jij de connectie, , Voor de uitbreiding van ons onderdeel in Moordrecht  IJsselstein en de uitbreiding van kennis zijn wij op zoek naar echte diehard network specialist De wereld wordt steeds virtueler en zo ook de netwerken die ons verbinden Maar onder aan de streep moeten ook al die netwerken nog steeds verbonden worden, , Als netwerk specialist bij Centric help jij onze klanten en collegas met zowel de virtuele als de fysieke infrastructuren, , Je hebt kennis van software defined networks denk aan Cisco ACI, campus en enterprise netwerken, maar ook van cloud networking zoals Azure virtual networks Firewalls en loadbalancers zijn je ook niet geheel vreemd en met al je kennis ben je in staat om naast het beheren ook netwerken te ontwerpen en en te bouwen, , De merken waar je bij ons het meest mee werkt zijn Cisco en HP Daarnaast met de eerder genoemde virtual networks Soms doe je dit bij een klant op locatie, van huis uit en de volgende keer weer bij een ander onderdeel van Centric intern, , De kennis die jij meebrengt gebruik je niet alleen bij klanten van Centric maar je draagt deze kennis ook over aan je collegas die van jou willen leren Dit kan op de werkvloer zijn maar ook via een workshop Daarnaast zorgen wij er voor dat je altijd bijblijft binnen jouw vakgebied door je alle tools te bieden die je nodig hebt Zoals de filosoof Confusius ooit zei Wie oude kennis koestert en voortdurend nieuwe vergaart, mag een leraar van anderen zijn, , , , , , , , , , Bij Centric Infrastructure Professionals helpen wij klanten met hun vraagstukken of infrastructuur gebied Dat kan een korte systeembeheer opdracht zijn maar ook een langere design klus bij een Universiteit die een heel nieuw campus netwerk aan gaat leggen En de uitvoering van zon plan met is de kers op de taart natuurlijk, , Wij ondersteunen klanten met korte en langere projecten Dit doen we van het ontwerp tot en met de uitvoering en ondersteuning Jouw groei staat hierbij centraal en wordt gestimuleerd met alle mogelijke trainingen via Centric academy",Full-time,https://www.linkedin.com/jobs/view/externalApply/2230700950?url=https%3A%2F%2Fcareers%2Ecentric%2Eeu%2Fnl%2Fvacatures%2Fnetwerk-specialist-39861%2F%3Futm_source%3Dlinkedin%26utm_medium%3Djobboard%26utm_campaign%3Djobmarketing%26utm_content%3Djobslots&urlHash=e22a&refId=b8ccf476-a532-483a-b8e9-4ead2c84fa9b&trackingId=fzNTtQXgCxe%2FY8YxF1JRqA%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/netwerk-specialist-at-centric-2230700950?refId=b8ccf476-a532-483a-b8e9-4ead2c84fa9b&trackingId=fzNTtQXgCxe%2FY8YxF1JRqA%3D%3D&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,28/11/2020,07/12/2020
3,network specialist,LinkedIn,2230702656,Netwerk Specialist,tvNsd6zdrjGKT1C68rv7xw==,Centric,"sHertogenbosch, North Brabant, Netherlands","['Information Technology and Services', 'Internet', 'Insurance']","Word jij de linking pin, , Voor de uitbreiding van ons onderdeel in sHertogenbosch en de uitbreiding van kennis zijn wij op zoek naar echte diehard network specialist De wereld wordt steeds virtueler en zo ook de netwerken die ons verbinden Maar onder aan de streep moeten ook al die netwerken nog steeds verbonden worden, , Als netwerk specialist bij Centric help jij onze klanten en collegas met zowel de virtuele als de fysieke infrastructuren, , Je hebt kennis van software defined networks denk aan Cisco ACI, campus en enterprise netwerken, maar ook van cloud networking zoals Azure virtual networks Firewalls en loadbalancers zijn je ook niet geheel vreemd en met al je kennis ben je in staat om naast het beheren ook netwerken te ontwerpen en en te bouwen, , De merken waar je bij ons het meest mee werkt zijn Cisco en HP Daarnaast met de eerder genoemde virtual networks Soms doe je dit bij een klant op locatie, van huis uit en de volgende keer weer bij een ander onderdeel van Centric intern, , De kennis die jij meebrengt gebruik je niet alleen bij klanten van Centric maar je draagt deze kennis ook over aan je collegas die van jou willen leren Dit kan op de werkvloer zijn maar ook via een workshop Daarnaast zorgen wij er voor dat je altijd bijblijft binnen jouw vakgebied door je alle tools te bieden die je nodig hebt Zoals de filosoof Confusius ooit zei Wie oude kennis koestert en voortdurend nieuwe vergaart, mag een leraar van anderen zijn, , , , , , , , , , Bij Centric Infrastructure Professionals helpen wij klanten met hun vraagstukken of infrastructuur gebied Dat kan een korte systeembeheer opdracht zijn maar ook een langere design klus bij een Universiteit die een heel nieuw campus netwerk aan gaat leggen En de uitvoering van zon plan met is de kers op de taart natuurlijk, , Wij ondersteunen klanten met korte en langere projecten Dit doen we van het ontwerp tot en met de uitvoering en ondersteuning Jouw groei staat hierbij centraal en wordt gestimuleerd met alle mogelijke trainingen via Centric academy",Full-time,https://www.linkedin.com/jobs/view/externalApply/2230702656?url=https%3A%2F%2Fcareers%2Ecentric%2Eeu%2Fnl%2Fvacatures%2Fnetwerk-specialist-39841%2F%3Futm_source%3Dlinkedin%26utm_medium%3Djobboard%26utm_campaign%3Djobmarketing%26utm_content%3Djobslots&urlHash=YFOA&refId=b8ccf476-a532-483a-b8e9-4ead2c84fa9b&trackingId=tvNsd6zdrjGKT1C68rv7xw%3D%3D&trk=public_jobs_apply-link-offsite,https://nl.linkedin.com/jobs/view/netwerk-specialist-at-centric-2230702656?refId=b8ccf476-a532-483a-b8e9-4ead2c84fa9b&trackingId=tvNsd6zdrjGKT1C68rv7xw%3D%3D&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,1 week ago,1 week ago,28/11/2020,07/12/2020
